序号,问题页面,问题标题,问题描述,涉及页面截图,期待效果描述,备注,优先级,,,,,,,,,,,,,
1,首页,卡片对齐问题,最新公告和高频操作入口的卡片没有与上面三个对齐,,,,高,,,,,,,,,,,,,
2,,接诊状态交互逻辑问题,关闭图文问诊通道所有的通道同时关闭,,图文问诊，视频问诊，图文咨询三个通道单独控制,,高,,,,,,,,,,,,,
3,,Hover和Active效果未按照预期,顶部“在线客服”“医生招聘”按钮的Hover、Active状态未按照预期,,,,中,,,,,,,,,,,,,
4,,进入问诊室卡片状态未按预期,进入问诊室客片没有Hover和Active状态,,,,中,,,,,,,,,,,,,
5,问诊室,顶部医生状态不能改变,点击在线下拉框应该能挑出状态选择框,,,,,,,,,,,,,,,,,
6,图文问诊&视频问诊,聊天区域与开方区域比例不一致,聊天区域与开放区域在拉伸后比例仍按照设计的比例来呈现，聊天：开方=3：5,,,,高,,,,,,,,,,,,,
7,,聊天框文字排布问题,聊天框文字排版问题,,,,高,,,,,,,,,,,,,
8,,表格拉伸后排版问题,表格在拉伸后里面的内容没有等间距对齐,,,,高,,,,,,,,,,,,,
9,,真实的输入框,诊断框应可输入，并且输入自动弹出下拉框,,,,中,,,,,,,,,,,,,
10,,处方备注缺失信息,处方备注的”请选择“应有上拉框,,,,高,,,,,,,,,,,,,
11,,所需药品图标消失,所需药品输入框前面的图标没了,,,,中,,,,,,,,,,,,,
12,,诊断结构化条目显示错误,诊断后面的结构化条目显示错误,,,,高,,,,,,,,,,,,,
13,,真实的聊天框,聊天框可以输入消息,,,,,,,,,,,,,,,,,
14,,徽标联动问题,点击某个图文视频问诊后红色徽标消失,,,,中,,,,,,,,,,,,,
15,,弹窗缺失,点击快捷回复要有弹窗,,,,高,,,,,,,,,,,,,
16,,间隔问题,视频问诊聊天区域时间日期和视频框间隔过大,,,,高,,,,,,,,,,,,,
17,,返回首页按钮状态缺失,”返回首页“的按钮没有Hover和Active状态,,,,中,,,,,,,,,,,,,
18,,按钮布局问题,视频问诊的这些按钮没有贴紧卡片下边缘,,,,高,,,,,,,,,,,,,